Kategorie,Podkategorie,Název,Menu_Typ,Cena,Váha,Skladování,Trvanlivost,Alergeny
Teplá kuchyně,Hlavní jídla,Smažený kuřecí/vepřový mini řízek 1kg,Standard,440,1000g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený kuřecí řízek na chlebu,Standard,40,150g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený sekaný řízek se sýrem na chlebu,Standard,40,150g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený vepřový řízek na chlebu,Standard,40,150g,do +8°C,24 hod,
Lahůdky,Saláty,Sýrový salát,Standard,19,100g,do +8°C,24 hod,
Lahůdky,Sádlo/Škvarky,Škvarky vepřové 1kg,Standard,200,1000g,do +5°C,14 dní,
Lahůdky,Saláty,Šopský salát,Standard,19,120g,do +8°C,24 hod,
Teplá kuchyně,Přílohy,Špekové knedlíky,Standard,35,300g,do +8°C,48 hod,
Lahůdky,Saláty,Těstovinový salát,Standard,18,100g,do +8°C,24 hod,
Lahůdky,Uzeniny,Tlačenka světlá tmavá masová 1kg,Standard,150,1000g,do +5°C,48 hod,
Teplá kuchyně,Hlavní jídla,Toast se sýrem,Standard,38,200g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Toast se šunkou a sýrem,Standard,30,190g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Toast s vejcem,Standard,22,110g,do +8°C,24 hod,
Lahůdky,Saláty,Vajíčkový salát,Standard,19,120g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Vepřenky s cibulí na chlebu,Standard,28,150g,do +8°C,24 hod,
Lahůdky,Konzervy/Sklo,Vepřová játrová paštika 0.15,Standard,40,150g,sucho,12 měs,
Lahůdky,Konzervy/Sklo,Vepřová játrová paštika 0.25,Standard,59,250g,sucho,12 měs,
Teplá kuchyně,Konzervy/Sklo,Vepřová pečeně na rozmarýnu 0.3,Standard,68,300g,sucho,12 měs,
Teplá kuchyně,Konzervy/Sklo,Vepřové domácí výpečky 0.3,Standard,68,300g,sucho,12 měs,
Teplá kuchyně,Konzervy/Sklo,Vepřové maso ve vlastní šťávě 0.3,Standard,68,300g,sucho,12 měs,
Lahůdky,Saláty,Zelný salát s jablky a mrkví,Standard,14,150g,do +8°C,24 hod,
Lahůdky,Aspiky a speciality,Aspik,Kavárna,38,290g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Bagel s vejcem a slaninou,Kavárna,30,210g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta celozrnná se slaninou,Kavárna,47,300g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál obložená,Kavárna,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál se slaninou,Kavárna,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál s turistickým salámem,Kavárna,38,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta cereál kuřecí nebo vepř. řízek,Kavárna,47,250g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta světlá kuřecí nebo vepř. řízek,Kavárna,47,250g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bagetka cibulová se slaninou,Kavárna,25,180g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Bageta světlá obložená,Kavárna,38,200g,do +8°C,24 hod,
Lahůdky,Saláty,Bramborový salát,Kavárna,15,150g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Croissant plněný šunkou,Kavárna,38,160g,do +8°C,24 hod,
Teplá kuchyně,Přílohy,Domácí těstoviny,Kavárna,10,100g,sucho,1 měsíc,
Teplá kuchyně,Přílohy,Domácí těstoviny - flíčky,Kavárna,40,500g,sucho,1 měsíc,
Teplá kuchyně,Hlavní jídla,Hamburger kuřecí,Kavárna,30,190g,do +8°C,24 hod,
Pečivo,Chléb,Chléb,Kavárna,3,70g,sucho,24 hod,
Pečivo,Chléb,Chléb domácí,Kavárna,35,450g,sucho,24 hod,
Lahůdky,Chlebíčky,Chlebíček s debrecínkou,Kavárna,25,90g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s turistou,Kavárna,25,80g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček sýrový,Kavárna,25,85g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s červ. řepou/balkán. sýr,Kavárna,25,95g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček šunkový,Kavárna,25,80g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček šunkový bramb. salát,Kavárna,29,110g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček se slaninou a škvarky,Kavárna,29,95g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s vajíčkovým salátem,Kavárna,21,100g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Chlebíček s mrkvovou pomazánkou,Kavárna,21,95g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Kaiserka domáci volské oko,Kavárna,25,200g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Houska sýrová,Kavárna,26,110g,do +8°C,24 hod,
Lahůdky,Chlebíčky,Kanapka (mix-jednotná cena),Kavárna,16,40g,do +8°C,24 hod,
Zákusky,Slané,Mini zákusek slaný,Kavárna,23,60-90g,do +8°C,24 hod,
Lahůdky,Aspiky a speciality,Obložené vejce,Kavárna,35,160g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložený chléb,Kavárna,19,120g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa (uzeniny sýr zelenina),Kavárna,360,1000g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa s uzeninou,Kavárna,360,1000g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa sýrová,Kavárna,420,1000g,do +8°C,24 hod,
Lahůdky,Mísy,Obložená mísa zeleninová,Kavárna,240,1000g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Obložený rohlík,Kavárna,18,90g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Palačinka se šunkou,Kavárna,33,190g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Pizza salámová,Kavárna,33,300,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Pletýnka obložená,Kavárna,39,240g,do +8°C,24 hod,
Pečivo,Rohlíky,Rohlík,Kavárna,3,45g,sucho,24 hod,
Pečivo,Ostatní,Rustikální kosta mix,Kavárna,37,100g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Selský obložený rohlík,Kavárna,25,110g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Sendvičová kapsa plněná vejcem,Kavárna,22,120g,do +8°C,24 hod,
Lahůdky,Pečivo plněné,Smaženka,Kavárna,23,200g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený kuřecí/vepřový mini řízek 1kg,Kavárna,440,1000g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený kuřecí řízek,Kavárna,40,150g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený sekaný řízek se sýrem,Kavárna,40,150g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Smažený vepřový řízek,Kavárna,40,150g,do +8°C,24 hod,
Lahůdky,Sádlo/Škvarky,Škvarkové tyčinky,Kavárna,16,100g,sucho,72 hod,
Lahůdky,Pečivo plněné,Tlamička salámová,Kavárna,16,100g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Toast se sýrem,Kavárna,38,200g,do +8°C,24 hod,
Teplá kuchyně,Hlavní jídla,Toast s vejcem,Kavárna,22,110g,do +8°C,24 hod,
Lahůdky,Saláty,Vajíčkový salát,Kavárna,19,120g,do +8°C,24 hod,
Lahůdky,Saláty,Vrstvený salát,Kavárna,25,160g,do +8°C,24 hod,
Obaly,Krabice,Krabice 18x18,Kavárna,13,,,,
Obaly,Krabice,Krabice 30x30,Kavárna,18,,,,
Obaly,Krabice,Krabice velká,Kavárna,40,,,,
Obaly,Krabice,Krabice ván. cukroví,Kavárna,30,,,,
Obaly,Kelímky,Kelímek to go káva,Kavárna,2,,,,
Obaly,Podnosy,Podnos ALU,Kavárna,19,,,,
Obaly,Podnosy,Podnos ALU velký,Kavárna,25,,,,
Obaly,Krabice,Krabice 18x18,Standard,13,,,,
Obaly,Krabice,Krabice 30x30,Standard,18,,,,
Obaly,Krabice,Krabice velká,Standard,40,,,,
Obaly,Krabice,Krabice ván. cukroví,Standard,30,,,,
Obaly,Kelímky,Kelímek to go káva,Standard,2,,,,
Obaly,Podnosy,Podnos ALU malý,Standard,19,,,,
Obaly,Podnosy,Podnos ALU velký,Standard,25,,,,
Dorty,Celé dorty,Máslový dort,Kavárna,580,1500g,+2°- +8° C,48h,"1,3,7"
Dorty,Celé dorty,Ořechový dort,Kavárna,580,1500g,+2°- +8° C,48h,"1,3,5,7,8"
Dorty,Celé dorty,Kokosový dort,Kavárna,460,1300g,+2°- +8° C,48h,"1,3,7,12"
Dorty,Celé dorty,Tmavý dort,Kavárna,520,1500g,+2°- +8° C,48h,"1,3,6,7,12"
Dorty,Celé dorty,Ovocný dort,Kavárna,480,1900g,+2°- +8° C,48h,"1,3,7,12"
Dorty,Celé dorty,Punčový dort,Kavárna,450,1900g,+2°- +8° C,48h,"1,3,6,12"
Dorty,Celé dorty,Florida dort komp. broskve,Kavárna,480,1800g,+2°- +8° C,24h,"1,3,6,7,12"
Dorty,Celé dorty,Kuba dort s banánem,Kavárna,520,1500g,+2°- +8° C,48h,"1,3,6,7,12"
Dorty,Celé dorty,Paříž dort,Kavárna,540,1500g,+2°- +8° C,48h,"1,3,6,7"
Dorty,Celé dorty,Harlekýn dort,Kavárna,450,1000g,+2°- +8° C,48h,"1,3,6,7,12"
Dorty,Celé dorty,Sachr dort,Kavárna,520,1500g,+2°- +8° C,48h,"1,3,6,7,12"
Dorty,Speciální,Dort srdce,Kavárna,700,2000g,+2°- +8° C,48h,"1,3,5,7"
Dorty,Celé dorty,Schwarzwaldský dort,Kavárna,540,1500g,+2°- +8° C,48h,"1,3,6,7"
Dorty,Speciální,Dort podkova,Kavárna,900,2500g,+2°- +8° C,48h,"1,3,6,7"
Dorty,Dětské,Ježek,Kavárna,700,2000g,+2°- +8° C,48h,"1,3,7"
Dorty,Dětské,Batul,Kavárna,320,1000g,+2°- +8° C,48h,"1,3,7"
Dorty,Celé dorty,Krtkův dort,Kavárna,520,1500g,+2°- +8° C,24h,"1,3,6,7,8"
Dorty,Doplňky,Přízdoba (poleva tmavá marcipán),Kavárna,90,250g,+11°- +24° C,1 měsíc,"1,6,7,8,12"
Dorty,Doplňky,Přízdoba (potah dortu marcipánem),Kavárna,180,500g,+11°- +24° C,1 měsíc,"1,6,7,8,12"
Dorty,Doplňky,Marcipánová figurka,Kavárna,60,100g,+11°- +24° C,1 týden,"1,6,7,8,12"
Dorty,Doplňky,Marcipánová figurka velká,Kavárna,220,200-250g,+11°- +24° C,1 týden,"1,6,7,8,12"
Dorty,Doplňky,Tisk - fondánový list,Kavárna,169,,+15°- +24° C,1 týden,"E102,110,122,124"
Dorty,Doplňky,Tisk - jedlý papír,Kavárna,99,,+15°- +24° C,1 týden,"E102,110,122,124"
Zákusky,Šlehačkové,Alaska jahodová,Kavárna,39,100g,do +8°C,48h,
Zákusky,Šlehačkové,Alaska pistáciová,Kavárna,48,100g,do +8°C,48h,
Zákusky,Suché,Babetka citronová,Kavárna,23,120g,sucho,72h,
Zákusky,Řezy,Balkánský řez,Kavárna,29,100g,do +8°C,72h,
Zákusky,Šlehačkové,Bezé se šleh.,Kavárna,40,100g,do +8°C,24h,
Zákusky,Dětské,Brumík,Kavárna,9,20g,sucho,72h,
Zákusky,Suché,Cukrářské piškoty balené,Kavárna,22,100g,sucho,1 měsíc,
Zákusky,Vánoční/Sváteční,Cukroví 1kg,Kavárna,480,1kg,sucho,1 měsíc,
Zákusky,Vánoční/Sváteční,Cukroví 250g,Kavárna,90-120,250g,sucho,1 měsíc,
Zákusky,Řezy,Dobošový řez,Kavárna,29,60g,do +8°C,48h,
Zákusky,Dorty krájené,Florida,Kavárna,39,150g,do +8°C,24h,
Zákusky,Trubičky,Griliášová trubička,Kavárna,19,50g,do +8°C,48h,
Zákusky,Dorty krájené,Harlekýn,Kavárna,33,80g,do +8°C,24h,
Zákusky,Dorty krájené,Cheesecake,Kavárna,43,120g,do +8°C,48h,
Zákusky,Dorty krájené,Cheesecake pistáciový,Kavárna,48,125g,do +8°C,48h,
Zákusky,Krémové,Jádrový rohlíček,Kavárna,23,80g,do +8°C,72h,
Zákusky,Dorty krájené,Havana dort,Kavárna,48,130g,do +8°C,24h,
Zákusky,Dorty krájené,Jogurtový dort,Kavárna,38,120g,do +8°C,24h,
Zákusky,Rolády/Záviny,Jogurtový závin,Kavárna,25,100g,do +8°C,24h,
Zákusky,Řezy,Kakaový řez,Kavárna,25,60g,do +8°C,24h,
Zákusky,Řezy,Kávový řez,Kavárna,38,100g,do +8°C,24h,
Zákusky,Krémové,Kávový banánek,Kavárna,28,70g,do +8°C,48h,
Zákusky,Suché,Kokoska,Kavárna,25,80g,do +8°C,72h,
Zákusky,Suché,Kokosky balené,Kavárna,32,100g,sucho,10 dní,
Zákusky,Rolády/Záviny,Kokosová roláda,Kavárna,30,80g,do +8°C,48h,
Zákusky,Dorty krájené,Kokosový dort,Kavárna,38,100g,do +8°C,48h,
Zákusky,Suché,Kokosový kmen,Kavárna,25,100g,sucho,1 měsíc,
Zákusky,Koláče,Koláč český kynutý,Kavárna,18,70g,sucho,72h,
Zákusky,Koláče,Koláč svatební,Kavárna,9,50g,sucho,72h,
Zákusky,Trubičky,Kremrole,Kavárna,23,60g,do +8°C,72h,
Zákusky,Krémové,Krémová špička,Kavárna,23,70g,do +8°C,48h,
Zákusky,Dorty krájené,Krtkův dort,Kavárna,43,150g,do +8°C,24h,
Zákusky,Dorty krájené,Kuba s banánem,Kavárna,43,120g,do +8°C,24h,
Zákusky,Suché,Laskonka,Kavárna,19,30g,do +8°C,48h,
Zákusky,Dorty krájené,Letní dort,Kavárna,38,100g,do +8°C,24h,
Zákusky,Krémové,Likérová špička,Kavárna,22,60g,do +8°C,72h,
Zákusky,Suché,Linecké srdíčko,Kavárna,14,50g,sucho,7 dní,
Zákusky,Kynuté,Mazanec,Kavárna,70,500g,sucho,72h,
Zákusky,Řezy,Máslová střecha,Kavárna,38,100g,do +8°C,48h,
Zákusky,Dorty krájené,Máslový dort,Kavárna,48,120g,do +8°C,48h,
Zákusky,Dorty krájené,Medovník,Kavárna,49,110g,do +8°C,72h,
Zákusky,Dorty krájené,Mechový dort,Kavárna,52,150g,do +8°C,24h,
Zákusky,Šlehačkové,Mini Pavlova,Kavárna,37,70g,do +8°C,24h,
Zákusky,Mini,Mini zákusek,Kavárna,18,30-50g,do +8°C,48h,
Zákusky,Dorty krájené,Moca dort,Kavárna,39,120g,do +8°C,48h,
Zákusky,Suché,Mrkvánek,Kavárna,15,40g,do +8°C,48h,
Zákusky,Rolády/Záviny,Mrkvová roláda,Kavárna,37,150g,do +8°C,24h,
Zákusky,Rolády/Záviny,Ořechová roláda,Kavárna,32,80g,do +8°C,48h,
Zákusky,Krémové,Oříšková pochoutka,Kavárna,28,100g,do +8°C,48h,
Zákusky,Dorty krájené,Ořechový dort,Kavárna,48,120g,do +8°C,48h,
Zákusky,Dorty krájené,Ovo dort,Kavárna,38,160g,do +8°C,48h,
Zákusky,Krémové,Ovo košík,Kavárna,31,100g,do +8°C,24h,
Zákusky,Řezy,Ovo řez,Kavárna,29,80g,do +8°C,48h,
Zákusky,Dorty krájené,Paříž,Kavárna,43,120g,do +8°C,24h,
Zákusky,Větrníky/Věnečky,Pařížský větrník,Kavárna,33,100g,do +8°C,24h,
Zákusky,Suché,Perník zdobený,Kavárna,25,100g,sucho,14 dní,
Zákusky,Suché,Perníček zdobený (tisk),Kavárna,28,100g,sucho,14 dní,
Zákusky,Řezy,Pralinkový řez,Kavárna,23,90g,do +8°C,72h,
Zákusky,Dorty krájené,Pražský dortík,Kavárna,50,180g,do +8°C,72h,
Zákusky,Krémové,Pražská koule,Kavárna,27,50g,do +8°C,48h,
Zákusky,Doplňky,Přízdoba,Kavárna,90,160g,sucho,1 měsíc,
Zákusky,Poháry,Pudinkový pohár,Kavárna,18,150g,do +8°C,24h,
Zákusky,Dorty krájené,Punč,Kavárna,32,120g,do +8°C,72h,
Zákusky,Krémové,Punčové koule,Kavárna,15,50g,do +8°C,72h,
Zákusky,Šlehačkové,Rakvička,Kavárna,10,20g,do +8°C,72h,
Zákusky,Šlehačkové,Rakvička se šleh.,Kavárna,16,50g,do +8°C,24h,
Zákusky,Dorty krájené,Red velvet,Kavárna,52,150g,do +8°C,24h,
Zákusky,Dorty krájené,Sachr se šlehačkou,Kavárna,38,120g,do +8°C,24h,
Zákusky,Dorty krájené,Schwarzwaldský dort,Kavárna,43,120g,do +8°C,48h,
Zákusky,Suché,Sněhové pusinky,Kavárna,22,100g,sucho,3 měsíce,
Zákusky,Doplňky,Šlehačka porce,Kavárna,18,50g,do +8°C,24h,
Zákusky,Řezy,Štafetka,Kavárna,28,80g,do +8°C,48h,
Zákusky,Dorty krájené,Tiramisu,Kavárna,52,120g,do +8°C,48h,
Zákusky,Rolády/Záviny,Tmavá roláda,Kavárna,29,80g,do +8°C,48h,
Zákusky,Dorty krájené,Tmavý dort,Kavárna,39,120g,do +8°C,48h,
Zákusky,Krémové,Třený banánek,Kavárna,22,60g,do +8°C,48h,
Zákusky,Dorty krájené,Tvarohový dort,Kavárna,39,120g,do +8°C,24h,
Zákusky,Rolády/Záviny,Vánek roláda,Kavárna,38,100g,do +8°C,24h,
Zákusky,Větrníky/Věnečky,Věneček staročeský,Kavárna,33,100g,do +8°C,48h,
Zákusky,Větrníky/Věnečky,Větrník,Kavárna,35,90g,do +8°C,24h,
Zákusky,Rolády/Záviny,Závin hruškový,Kavárna,45,180g,do +8°C,48h,
Zákusky,Rolády/Záviny,Závin jablečný,Kavárna,28,120g,do +8°C,48h,
Zákusky,Rolády/Záviny,Závin makový,Kavárna,28,170g,do +8°C,48h,
Zákusky,Rolády/Záviny,Závin ořechový,Kavárna,38,170g,do +8°C,48h,
Zákusky,Řezy,Žloutkový řez/kremeš,Kavárna,28,120g,do +8°C,48h,
Mini zákusky,Rolády,Kokos roláda,Kavárna,18,30g,do +8°C,48h,
Mini zákusky,Suché,Kokoska plněná,Kavárna,18,40g,do +8°C,72h,
Mini zákusky,Suché,Laskonky,Kavárna,18,30g,do +8°C,48h,
Mini zákusky,Krémové,Likérová špička,Kavárna,18,40g,do +8°C,72h,
Mini zákusky,Rolády,Ořech roláda,Kavárna,18,30g,do +8°C,48h,
Mini zákusky,Krémové,Ovo koš,Kavárna,18,35g,do +8°C,48h,
Mini zákusky,Rolády,Tmavá roláda,Kavárna,18,30g,do +8°C,48h,
Mini zákusky,Řezy,Štafetka,Kavárna,18,35g,do +8°C,48h,
Mini zákusky,Větrníky/Věnečky,Věneček,Kavárna,18,50g,do +8°C,48h,
Mini zákusky,Větrníky/Věnečky,Větrník,Kavárna,18,50g,do +8°C,24h,
Mini zákusky,Větrníky/Věnečky,Francouzské větrníčky,Kavárna,18,45g,do +8°C,24h,
Dorty,Celé dorty,Máslový dort,Standard,400,,do +8°C,,"1,3,7,12"
Dorty,Celé dorty,Ořechový dort,Standard,450,,do +8°C,,"1,3,5,7,8"
Dorty,Celé dorty,Kokosový dort,Standard,400,,do +8°C,,"1,3,7,12"
Dorty,Celé dorty,Tmavý dort,Standard,400,,do +8°C,,"1,3,7,12"
Dorty,Celé dorty,Ovocný dort,Standard,400,,do +8°C,,"1,3,7,12"
Dorty,Celé dorty,Punčový dort,Standard,450,,do +8°C,,1.3
Dorty,Celé dorty,Florida dort komp. broskve,Standard,450,,do +8°C,,"1,3,7"
Dorty,Celé dorty,Kuba dort banán,Standard,450,,do +8°C,,"1,3,7"
Dorty,Celé dorty,Paříž dort,Standard,420,,do +8°C,,"1,3,7"
Dorty,Celé dorty,Harlekýn dort,Standard,450,,do +8°C,,"1,3,7"
Dorty,Celé dorty,Sachr dort,Standard,400,,do +8°C,,"1,3,7"
Dorty,Speciální,Dort patrový máslový,Standard,500,,do +8°C,,"1,3,5,7,12"
Dorty,Speciální,Dort dvoupatrový máslový,Standard,800,,do +8°C,,"1,3,5,7,12"
Dorty,Speciální,Dort srdce,Standard,400,,do +8°C,,"1,3,5,7"
Dorty,Celé dorty,Rakouský dort,Standard,500,,do +8°C,,"1,3,5,7,12"
Dorty,Speciální,Dort podkova,Standard,500,,do +8°C,,"1,3,5,7"
Dorty,Dětské,Ježek,Standard,400,,do +8°C,,"1,3,7"
Dorty,Speciální,Dort obdélník,Standard,700,,do +8°C,,"1,3,5,7,12"
Dorty,Speciální,Paříž dort srdce,Standard,450,,do +8°C,,"1,3,7"
Dorty,Dětské,Batul,Standard,250,,do +8°C,,"1,3,7"
Dorty,Dětské,Míč+podstavec,Standard,800,,do +8°C,,"1,3,7,8"
Dorty,Speciální,Ovo srdce,Standard,450,,do +8°C,,"1,3,7"
Dorty,Svatební,Svatební dvoupatrový dort,Standard,1000,,do +8°C,,"1,3,7,8,12"
Dorty,Speciální,Kuba srdce,Standard,550,,do +8°C,,"1,3,7"
Dorty,Speciální,Paříž patrový,Standard,600,,do +8°C,,"1,3,7"
Dorty,Celé dorty,Medovník,Standard,500,,do +8°C,,"1,3,7"
Dorty,Dětské,Míč,Standard,500,,do +8°C,,"1,3,7,8"
Dorty,Dětské,Míč marcipán,Standard,550,,do +8°C,,"1,3,7,8"
Dorty,Celé dorty,Letní dort s ovocem,Standard,500,,do +8°C,,"1,3,7"
Dorty,Speciální,Kniha 30x24,Standard,600,,do +8°C,,"1,3,7,8"
